rep,var,nlvl,ph_30,ph_45,ph_60,ph_75,ph_90,TL_30,TL_45,TL_60,TL_75,TL_90,FLW_30,FLW_45,FLW_60,FLW_75,FLW_90,DLW_30,DLW_45,DLW_60,DLW_75,DLW_90,FSW_30,FSW_45,FSW_60,FSW_75,FSW_90,DSW_30,DSW_45,DSW_60,DSW_75,DSW_90,FSW_75,FSW_90,DSW_75,DSW_90,LAI_30 ,LAI_45,LAI_60,LAI_75,LAI_90,FET_row,FPh,biomass,g_yield,moisture,thou_gw,test_wt,DoE,DoB,DoH,DoF,DoPM,flag_senc,flag_LA,Spike_len,grain_spike,spikelet_spike,floret_spike,sterility
1,1,1,25.2,52.2,52.2,72.9,76.3,51,54,67,65,62,4.13,14.47,10.01,6.64,2.63,0.82,2.81,2.67,2.12,1.09,1.79,8.95,24.41,42.43,23.81,0.35,1.39,4.59,12.25,9.45,9.96,16.58,3.34,6.58,188.43,708.89,588.59,410.88,166.9,147,76.3,2.75,1.124,13.1,38.23,380.8266667,13,69,76,82,104,101,23.99,8.04,22.6,14.4,44.6,6
1,2,1,23.8,49.7,49.7,67.9,67.3,49,51,58,56,49,2.99,20.83,12.58,5.21,3.1,0.39,4.04,3.36,1.66,1.28,1.97,19.66,30.38,41.74,32.99,0.15,3.06,5.71,12.06,13.1,9.23,23.746,3.09,9.43,90.79,1020.46,739.7,322.39,196.73,124,67.3,2.78,1.112,13.9,40.09,372.86,9,69,76,82,104,96,25.92,8.72,28.6,16,54.2,5
1,3,1,22.5,49.1,49.1,64.7,70.7,46,51,58,52,44,2.62,3.88,5.38,7.31,1.34,0.61,0.75,1.44,2.33,0.55,1.98,3.68,14.07,40.31,15.03,0.18,0.57,2.64,11.64,5.97,11.63,13.03,3.9,5.17,119.54,190.08,316.34,452.34,85.04,105,70.7,2.22,0.88,12.9,38.81,379.6533333,9,69,76,80,104,104,21.496,7.98,31,15.8,54.6,8
1,4,1,19.7,51,51,64.9,65.2,36,41,52,50,43,6.13,10.51,8.5,8.09,2.16,1.08,2.04,2.27,2.58,0.89,4.89,9.25,17.21,64.42,42.95,0.49,1.44,3.23,18.61,17.05,14.64,29.27,4.91,11.62,279.68,514.88,499.8,500.61,137.07,139,65.2,2.5,0.818,11.6,46.88,402.7833333,9,69,76,84,103,96,22.758,6.82,23.8,13.6,49.6,7
1,1,2,26.7,68.8,68.8,76.1,81.4,62,69,72,70,63,7.51,23.29,34.29,36.64,8.84,1.38,4.52,9.15,11.7,3.66,2.54,17.33,64.56,40.82,90.27,0.45,2.69,12.13,11.79,35.84,39.33,67.04,13.18,26.62,342.64,1140.98,2016.25,2267.28,560.99,166,91.4,6.7,2.56,12.6,34.91,365.5566667,13,72,76,82,104,104,40.712,9.76,57.8,18.2,91,2
1,2,2,24.2,65.9,65.9,80.9,84.9,50,56,65,59,48,10.45,35.62,28.55,22.19,3.62,1.76,6.91,7.62,7.09,1.5,5.59,29.57,66.62,150.99,40.59,0.71,4.6,12.52,43.61,16.12,35.95,40.24,12.05,15.98,476.78,1745.02,1678.74,1373.12,229.73,226,84.9,5.8,2.442,13.1,38.28,363.6733333,9,69,72,80,104,101,50.34,11.38,56.6,16.8,72.6,4
1,3,2,24.7,65.9,65.9,79.1,80.9,55,66,69,53,48,5.17,11.94,16.55,14.93,2.98,0.86,2.32,4.42,4.77,1.23,2.55,13.84,31.93,79.93,48.41,0.34,2.15,6,23.09,19.22,20.64,33.87,6.92,13.45,235.88,584.94,973.14,923.87,189.11,106,90.9,5.63,2.254,10.4,39.26,379.59,9,69,76,82,104,101,34.2,9.6,55.2,18.6,86.8,6
1,4,2,26.5,73.1,73.1,84.1,95.5,48,50,61,52,48,6.32,43.92,21.5,18.58,5.74,1.08,8.52,5.74,5.93,2.37,3.08,39.64,53.48,101.04,78.99,0.41,6.16,10.05,29.18,31.36,26.55,63.31,8.9,25.14,288.35,2151.64,1264.2,1149.73,364.26,140,95.5,5.5,2.43,12.5,46.54,389.02,9,69,72,84,107,101,41.07,10.52,38.2,16,66,6
1,1,3,25.7,63.4,63.4,85.6,95.3,67,70,78,72,68,11.24,10.61,20.26,12.79,3.38,2.21,2.06,5.41,4.08,1.4,4.14,9.87,39.78,68.6,48.7,0.62,1.53,7.48,19.81,19.34,23.78,41.08,7.97,16.31,512.83,519.78,1191.29,791.45,214.49,162,95.3,6.8,2.694,13.6,36.15,356.9116667,9,72,76,82,104,99,36.64,10.46,54.6,17.4,72.2,2
1,2,3,26.3,70.8,70.8,88.4,90.7,55,64,67,60,52,8.72,11.83,12.33,9.96,2.72,1.5,2.29,3.29,3.18,1.13,3.45,10.43,31.78,67.6,61.19,0.43,1.62,5.97,19.52,24.29,23.01,60.69,7.71,24.1,397.85,579.55,725,616.32,172.61,162,87.7,6.82,2.732,10.6,37.54,375.3966667,9,69,72,82,104,96,48.68,11.16,61.6,19.4,82.4,3
